Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma/LOD,Ag CPS/uA,As,As 2-Sigma/LOD,As CPS/uA,Au,Au 2-Sigma/LOD,Au CPS/uA,Bal,Bal 2-Sigma/LOD,Bi,Bi 2-Sigma/LOD,Bi CPS/uA,Cd,Cd 2-Sigma/LOD,Cd CPS/uA,Co,Co 2-Sigma/LOD,Co CPS/uA,Cr,Cr 2-Sigma/LOD,Cr CPS/uA,Cu,Cu 2-Sigma/LOD,Cu CPS/uA,Fe,Fe 2-Sigma/LOD,Fe CPS/uA,Hf,Hf 2-Sigma/LOD,Hf CPS/uA,Hg,Hg 2-Sigma/LOD,Hg CPS/uA,Mn,Mn 2-Sigma/LOD,Mn CPS/uA,Mo,Mo 2-Sigma/LOD,Mo CPS/uA,Nb,Nb 2-Sigma/LOD,Nb CPS/uA,Ni,Ni 2-Sigma/LOD,Ni CPS/uA,Pb,Pb 2-Sigma/LOD,Pb CPS/uA,Pd,Pd 2-Sigma/LOD,Pd CPS/uA,Rb,Rb 2-Sigma/LOD,Rb CPS/uA,Re,Re 2-Sigma/LOD,Re CPS/uA,Sb,Sb 2-Sigma/LOD,Sb CPS/uA,Se,Se 2-Sigma/LOD,Se CPS/uA,Sn,Sn 2-Sigma/LOD,Sn CPS/uA,Sr,Sr 2-Sigma/LOD,Sr CPS/uA,Ta,Ta 2-Sigma/LOD,Ta CPS/uA,Th,Th 2-Sigma/LOD,Th CPS/uA,Ti,Ti 2-Sigma/LOD,Ti CPS/uA,U,U 2-Sigma/LOD,U CPS/uA,V,V 2-Sigma/LOD,V CPS/uA,W,W 2-Sigma/LOD,W CPS/uA,Y,Y 2-Sigma/LOD,Y CPS/uA,Zn,Zn 2-Sigma/LOD,Zn CPS/uA,Zr,Zr 2-Sigma/LOD,Zr CPS/uA,Al,Al 2-Sigma/LOD,Al CPS/uA,Ba,Ba 2-Sigma/LOD,Ba CPS/uA,Ca,Ca 2-Sigma/LOD,Ca CPS/uA,Cl,Cl 2-Sigma/LOD,Cl CPS/uA,K,K 2-Sigma/LOD,K CPS/uA,Mg,Mg 2-Sigma/LOD,Mg CPS/uA,P,P 2-Sigma/LOD,P CPS/uA,S,S 2-Sigma/LOD,S CPS/uA,Si,Si 2-Sigma/LOD,Si CPS/uA,Satellites,Altitude,Latitude,Longitude,Grid,Easting,Northing,
58,Mining,120.34,30.06,30.25,30.02,30.01,"Fri Apr 3, 2026 - 09:45:46",User,1.5,ppm,,,,,,Mining,<LOD,1.3229,0.6799,<LOD,1.4408,0.3100,<LOD,2.7074,0.0987,416396.3750 , 5294.4741,<LOD,1.1907,0.1316,<LOD,2.0058,1.2386,<LOD,46.6995,10.3061,126.3185 , 5.7506,3.5276,7.0209 , 2.5563,0.3372,25637.9062 , 136.2741,64.6630,<LOD,0.0000,0.0000,<LOD,3.9791,0.2429,345.9610 , 23.8460,1.0822,<LOD,0.9423,4.7672,5.1416 , 0.5543,3.4275,<LOD,6.5690,0.2646,9.7035 , 0.9811,0.3804,<LOD,1.1696,0.4739,44.9276 , 1.1267,2.4677,<LOD,0.0000,0.0000,<LOD,3.7991,3.8263,<LOD,0.7539,0.2001,15.1808 , 2.1036,3.3203,237.0848 , 1.4325,15.4385,<LOD,0.0000,0.0000,3.5552 , 0.6983,0.3429,7757.0874 , 51.9177,27.8870,2.3926 , 0.9162,0.5763,192.8966 , 13.6148,4.7366,<LOD,6.4579,0.2089,39.2875 , 0.8444,4.3108,28.3213 , 2.3114,0.5259,112.6303 , 1.1814,13.3199,147411.0312 , 2228.6255,3.1636,372.1335 , 18.9313,16.9411,30499.9902 , 207.5799,40.6527,<LOD,43.7933,0.7948,8691.7891 , 102.4050,6.1179,28987.0332 , 3515.0750,0.0912,1178.0874 , 140.1200,0.3328,4501.3242 , 63.7737,1.9144,327396.8125 , 811.7002,34.2888,6,437.899994,39.001568,-122.662422,10.000000,529230.875000,4317005.000000,
59,Mining,120.26,30.10,30.06,30.03,28.27,"Fri Apr 3, 2026 - 09:48:33",User,1.5,ppm,,,,,,Mining,<LOD,1.3924,0.6237,<LOD,1.5147,0.2992,<LOD,2.9501,0.1011,404782.5625 , 6092.7188,<LOD,1.3080,0.1369,<LOD,2.1462,1.1746,<LOD,50.1888,10.4080,130.5468 , 5.9043,3.4179,7.3285 , 2.7078,0.3265,27066.7500 , 151.4797,64.7532,<LOD,0.0000,0.0000,<LOD,2.7174,0.2214,384.0261 , 25.7309,1.1018,<LOD,0.9945,4.5363,4.6477 , 0.5817,3.2275,<LOD,7.0848,0.2653,8.9125 , 1.0213,0.3545,<LOD,1.2311,0.4350,44.8811 , 1.1809,2.3237,<LOD,0.0000,0.0000,<LOD,4.0919,3.6777,<LOD,0.8175,0.2022,15.5229 , 2.2700,3.2144,257.4657 , 1.5931,15.7442,<LOD,0.0000,0.0000,3.8351 , 0.7572,0.3428,7506.5869 , 52.7934,25.5953,1.8118 , 0.9626,0.5474,195.4731 , 13.7155,4.4003,<LOD,7.0603,0.2156,42.7485 , 0.9106,4.2919,33.8609 , 2.5389,0.5473,116.6736 , 1.2719,13.0744,149123.1406 , 2557.6980,3.1968,395.6546 , 20.5305,16.5753,33090.8711 , 223.6235,42.0899,<LOD,48.6088,0.8062,8526.7139 , 103.4979,5.7577,31537.2578 , 3970.1248,0.0953,943.7338 , 143.3688,0.2810,4694.3174 , 70.2055,1.9081,331084.6562 , 875.0464,33.2452,6,431.500000,39.001217,-122.662529,10.000000,529221.937500,4316966.000000,
60,Mining,123.93,33.74,30.02,30.04,30.13,"Fri Apr 3, 2026 - 09:51:48",User,1.5,ppm,,,,,,Mining,<LOD,2.3555,0.6547,<LOD,0.0681,0.0010,<LOD,0.1057,0.0001,966.4154,,<LOD,0.0391,-0.0001,<LOD,3.6091,1.2232,47.2277 , 3.5322,0.0961,239.2585 , 13.6072,3.6630,<LOD,1.3544,0.0365,<LOD,10.4949,0.1599,<LOD,0.0000,0.0000,<LOD,0.4571,0.0044,462.7880 , 27.1483,0.7846,<LOD,0.0029,0.0000,<LOD,0.0024,-0.0000,8.3943 , 1.8709,0.0648,<LOD,0.0144,-0.0001,<LOD,2.0728,0.4512,<LOD,0.0035,-0.0001,<LOD,0.0000,0.0000,<LOD,6.7538,3.6652,<LOD,0.0565,0.0006,32.2032 , 3.7958,3.3069,<LOD,0.0035,-0.0000,<LOD,0.0000,0.0000,<LOD,0.0261,-0.0001,12058.9189 , 262.3119,25.1020,<LOD,0.0252,-0.0000,357.9973 , 29.3655,4.4644,<LOD,1.8452,0.0145,<LOD,0.0024,-0.0000,<LOD,0.6949,0.0183,<LOD,0.0029,-0.0000,401828.5625 , 2111.0337,3.4489,918.1992 , 491.4416,16.7904,76173.8594 , 1258.0216,50.9992,<LOD,86.0045,0.8744,13221.8623 , 271.1537,5.7991,61194.7188 , 5705.0879,0.0998,2104.3992 , 245.8395,0.2959,18306.8926 , 324.4357,4.8072,412078.3125 , 3506.8320,34.3696,6,430.799988,39.001385,-122.662445,10.000000,529228.687500,4316984.500000,
61,Mining,120.33,30.01,30.04,30.18,28.60,"Fri Apr 3, 2026 - 09:54:32",User,1.5,ppm,,,,,,Mining,<LOD,1.4205,0.6895,<LOD,1.6442,0.3505,<LOD,3.0382,0.1048,392663.9062 , 6398.5078,<LOD,1.4104,0.1560,<LOD,2.1459,1.2463,<LOD,53.0622,11.8216,145.7094 , 6.2133,3.8108,11.1651 , 2.8352,0.3502,30829.3359 , 165.5359,74.5120,<LOD,0.0000,0.0000,6.5930 , 2.0086,0.2799,255.3385 , 23.5945,0.9363,<LOD,1.3028,4.7997,7.2263 , 0.5853,3.2286,<LOD,7.4945,0.2845,11.7974 , 1.0963,0.4010,<LOD,1.2641,0.4875,51.6217 , 1.2507,2.5888,<LOD,0.0000,0.0000,<LOD,4.0690,3.8624,<LOD,0.8543,0.2186,18.6122 , 2.2570,3.3737,190.5338 , 1.3489,11.7220,<LOD,0.0000,0.0000,4.1696 , 0.8038,0.3727,8734.5596 , 57.5184,30.0632,1.7179 , 0.9452,0.5122,254.6238 , 14.8893,5.2759,<LOD,7.0131,0.2077,24.5454 , 0.7928,3.1815,22.9258 , 2.3678,0.4658,132.5569 , 1.3136,13.4334,162922.4531 , 2682.4470,3.4776,439.3305 , 20.4734,17.4893,10961.9189 , 129.1943,13.8397,<LOD,50.5639,0.8288,8777.8848 , 107.5378,5.6621,29809.9297 , 3901.4590,0.0926,1429.3685 , 164.7260,0.3626,6855.2124 , 83.5803,2.5533,345436.9688 , 904.5389,33.6041,7,430.000000,39.001320,-122.662521,10.000000,529222.312500,4316977.000000,
62,Mining,120.30,30.07,30.01,30.14,29.19,"Fri Apr 3, 2026 - 09:58:05",User,1.5,ppm,,,,,,Mining,<LOD,1.5531,0.6250,<LOD,1.5573,0.2517,<LOD,3.3531,0.1068,381090.6875 , 7008.9907,<LOD,1.4309,0.1342,<LOD,2.3264,1.0980,<LOD,56.6926,11.3980,151.2577 , 6.6755,3.5124,14.2268 , 3.0514,0.3420,32359.5332 , 179.7714,71.2312,<LOD,0.0000,0.0000,6.9173 , 2.1478,0.2655,560.8897 , 30.0447,1.2967,1.2988 , 0.7270,4.3978,6.0435 , 0.6158,2.9110,<LOD,8.0628,0.2810,7.8773 , 1.0740,0.3195,<LOD,1.4205,0.4695,44.1067 , 1.2533,2.0929,<LOD,0.0000,0.0000,<LOD,4.5229,3.5928,<LOD,0.9159,0.2071,21.0576 , 2.5308,3.2252,309.2649 , 1.8799,16.8562,<LOD,0.0000,0.0000,4.4127 , 0.8255,0.3308,7454.3374 , 56.4466,23.5294,3.3619 , 1.0907,0.5686,200.2233 , 14.8375,4.0992,<LOD,7.6641,0.2087,29.4042 , 0.8579,3.0981,51.7574 , 3.0075,0.6321,122.4089 , 1.3933,12.6167,144179.3125 , 2805.4612,3.0934,472.5290 , 22.9791,16.6906,43380.6562 , 272.4362,51.9890,<LOD,50.0050,0.8111,8344.8896 , 109.0667,5.3998,39269.5742 , 4449.2983,0.1083,1013.7312 , 142.2755,0.2664,8414.7041 , 91.3664,3.0551,332485.5312 , 868.8975,31.9394,6,433.000000,39.001423,-122.662460,10.000000,529227.625000,4316988.500000,
63,Mining,120.39,30.01,30.05,30.22,30.11,"Fri Apr 3, 2026 - 10:18:19",User,1.5,ppm,,,,,,Mining,<LOD,1.4680,0.6178,<LOD,1.5406,0.2445,<LOD,3.2109,0.0975,440358.5000 , 6282.7720,<LOD,1.4223,0.1322,<LOD,2.2111,1.1081,<LOD,56.7974,11.3961,129.7702 , 6.0510,3.2848,4.8216 , 2.8634,0.2997,32427.0645 , 163.7283,72.8116,<LOD,0.0000,0.0000,<LOD,2.9371,0.2070,580.8843 , 30.6814,1.3535,<LOD,1.0712,4.2507,4.9913 , 0.6055,2.8324,<LOD,7.9601,0.2677,7.2563 , 1.0658,0.3139,<LOD,1.2877,0.4237,39.8702 , 1.2017,1.9403,<LOD,0.0000,0.0000,<LOD,4.1712,3.3680,<LOD,0.9063,0.2049,19.2369 , 2.3338,3.0178,291.7881 , 1.7552,16.2351,<LOD,0.0000,0.0000,3.6158 , 0.8103,0.3140,6482.6333 , 48.4141,20.8983,1.9676 , 1.0487,0.5284,181.9070 , 13.2674,3.7090,<LOD,7.5536,0.2020,19.9183 , 0.7803,2.5704,50.5766 , 3.0056,0.6298,113.4777 , 1.3389,12.1010,123938.0000 , 2485.7644,2.6738,414.9284 , 21.0120,15.4023,42889.0664 , 249.3831,52.2110,<LOD,47.2490,0.7801,8765.7842 , 105.4377,5.7475,34130.8477 , 4161.7114,0.0986,918.0537 , 137.3856,0.2637,5012.1689 , 70.0178,1.9553,303212.8438 , 790.7506,28.6646,7,433.500000,39.001404,-122.662468,10.000000,529226.750000,4316986.500000,
64,Mining,120.50,30.08,30.04,30.24,28.35,"Fri Apr 3, 2026 - 10:21:02",User,1.5,ppm,,,,,,Mining,<LOD,1.4628,0.6038,<LOD,1.5129,0.2366,<LOD,3.2241,0.1016,430512.3438 , 6570.7651,<LOD,1.3999,0.1316,<LOD,2.2252,1.1074,<LOD,58.0104,12.5296,121.8644 , 6.1074,3.2447,10.8754 , 2.9553,0.3291,35274.8750 , 181.6472,80.5051,<LOD,0.0000,0.0000,<LOD,3.9509,0.2166,826.0551 , 33.7687,1.7328,<LOD,1.0570,4.2384,5.0445 , 0.5980,2.8263,<LOD,7.8142,0.2485,8.1131 , 1.0645,0.3222,<LOD,1.2919,0.4205,39.5132 , 1.1917,1.9419,<LOD,0.0000,0.0000,<LOD,4.2124,3.4044,<LOD,0.8505,0.1795,18.6732 , 2.3407,2.9878,283.7196 , 1.7473,15.8157,<LOD,0.0000,0.0000,3.3611 , 0.7952,0.3088,6375.0527 , 49.4156,20.8121,3.1136 , 1.0505,0.5440,180.0057 , 13.4374,3.6928,<LOD,7.3429,0.1964,18.8737 , 0.7617,2.5020,51.3350 , 2.9796,0.6366,107.8843 , 1.3060,11.6404,125762.9453 , 2614.3425,2.7129,420.8503 , 21.1662,15.3813,43029.7344 , 260.6927,53.3328,<LOD,48.3856,0.7789,8950.0723 , 109.1439,5.9543,39974.4961 , 4490.8267,0.1090,928.8450 , 140.1360,0.2637,5241.5293 , 73.5764,2.0585,301850.8750 , 831.6320,29.0144,5,432.700012,39.001324,-122.662384,10.000000,529234.312500,4316977.500000,
65,Mining,120.38,30.01,30.07,30.10,28.99,"Fri Apr 3, 2026 - 10:23:41",User,1.5,ppm,,,,,,Mining,<LOD,1.6230,0.6205,<LOD,1.5245,0.2238,<LOD,3.1838,0.0923,440413.5000 , 6171.7993,<LOD,1.3883,0.1208,<LOD,2.2565,1.0498,<LOD,57.7482,11.3710,131.0795 , 6.3845,3.2351,10.3103 , 3.0130,0.3189,33045.0430 , 159.4926,72.0675,<LOD,0.0000,0.0000,<LOD,4.0859,0.2100,531.0433 , 30.0749,1.2538,<LOD,1.0909,4.2372,4.5680 , 0.6089,2.7385,<LOD,7.9384,0.2486,7.2984 , 1.0739,0.3061,<LOD,1.3384,0.4194,41.0246 , 1.2268,1.9411,<LOD,0.0000,0.0000,<LOD,4.3455,3.3710,<LOD,0.8635,0.1751,16.6745 , 2.4045,2.9206,288.1998 , 1.7266,15.5522,<LOD,0.0000,0.0000,5.0614 , 0.8244,0.3247,6644.6768 , 50.4655,20.8383,3.0943 , 1.0766,0.5345,181.6939 , 14.0423,3.6758,<LOD,7.3814,0.1850,18.8183 , 0.7782,2.4491,42.4362 , 2.8933,0.5605,112.3609 , 1.3339,11.6435,125827.8594 , 2512.4871,2.7123,394.4424 , 21.6161,14.8312,42392.4961 , 252.3417,50.1191,<LOD,48.4927,0.7798,9195.8193 , 112.3520,5.8310,24375.5469 , 3942.5845,0.0822,1077.0094 , 144.1204,0.2797,4859.0581 , 69.8400,1.8517,310380.9062 , 781.9949,28.7021,6,433.700012,39.001312,-122.662483,10.000000,529225.812500,4316976.500000,
66,Mining,120.24,30.00,30.07,30.08,30.09,"Fri Apr 3, 2026 - 10:26:46",User,1.5,ppm,,,,,,Mining,<LOD,1.1857,0.7338,5.2487 , 1.1138,0.6054,<LOD,2.7341,0.1232,594922.2500 , 3208.6528,<LOD,1.1779,0.1568,<LOD,1.8805,1.4850,<LOD,41.7417,9.6272,90.5151 , 4.5585,3.1189,5.0003 , 2.4862,0.3851,21214.0781 , 97.6525,59.8468,<LOD,0.0000,0.0000,4.9591 , 1.7621,0.3159,49.5383 , 17.6348,0.6775,<LOD,0.9730,6.4235,7.5392 , 0.5364,4.0379,<LOD,6.1172,0.2912,9.8195 , 0.9670,0.4516,<LOD,1.0759,0.5407,67.6325 , 1.2544,4.0009,<LOD,0.0000,0.0000,<LOD,3.4965,4.4144,<LOD,0.7415,0.2351,9.5075 , 1.9070,3.6573,73.1035 , 0.7275,5.9308,<LOD,0.0000,0.0000,6.1689 , 0.7281,0.4798,6753.8110 , 39.1763,26.8080,1.4571 , 0.8145,0.5527,197.9920 , 11.4167,4.7116,<LOD,5.8239,0.2053,8.8711 , 0.6385,2.9465,<LOD,2.5248,0.3351,184.8682 , 1.2549,19.8166,72440.6016 , 1199.4094,1.6120,282.8068 , 16.9511,18.0251,12903.8848 , 118.1954,18.6501,<LOD,37.6936,0.7996,8461.6543 , 90.2568,6.2578,8047.8691 , 2333.0083,0.0533,798.3300 , 109.5901,0.2622,12607.7393 , 89.2515,5.1828,260844.7656 , 598.8444,27.3764,4,434.299988,39.001694,-122.662788,10.000000,529199.375000,4317018.500000,
67,Mining,120.48,30.03,30.20,30.14,30.11,"Fri Apr 3, 2026 - 10:29:24",User,1.5,ppm,,,,,,Mining,<LOD,1.1506,0.8202,1.4707 , 1.0077,0.5377,<LOD,2.3853,0.1103,551853.5000 , 3193.0520,<LOD,1.1835,0.1864,<LOD,1.7979,1.6107,<LOD,34.5009,7.2327,65.8063 , 4.1452,3.0689,<LOD,3.7962,0.3761,14869.0566 , 82.1016,45.0794,<LOD,0.0000,0.0000,2.9560 , 1.6294,0.3138,<LOD,22.8124,0.5452,<LOD,0.9230,7.0326,8.3753 , 0.5078,4.4201,<LOD,5.4552,0.2922,11.4380 , 0.9497,0.5147,<LOD,1.0725,0.6394,66.4509 , 1.1999,4.3430,<LOD,0.0000,0.0000,<LOD,4.1948,4.8898,<LOD,0.6613,0.2206,9.2599 , 1.8135,3.9208,37.7670 , 0.5283,3.7232,<LOD,0.0000,0.0000,6.3124 , 0.7220,0.5528,7960.1162 , 40.2632,33.7247,<LOD,1.7798,0.5477,204.3989 , 11.2663,5.6926,<LOD,5.5753,0.2207,7.5302 , 0.6008,3.0814,<LOD,2.2429,0.3089,181.7652 , 1.1966,21.1262,78640.7734 , 1160.0557,1.7551,238.5849 , 15.9526,18.7501,5788.7983 , 78.0564,9.1964,<LOD,35.9533,0.8049,9322.9463 , 88.2964,7.1603,12716.7080 , 2322.3445,0.0633,856.3510 , 108.7799,0.2891,13178.3447 , 89.1767,5.6733,303971.2812 , 622.7918,34.9292,7,431.299988,39.001427,-122.662498,10.000000,529224.312500,4316989.000000,
68,Mining,120.40,30.22,30.03,30.05,30.10,"Fri Apr 3, 2026 - 10:32:02",User,1.5,ppm,,,,,,Mining,<LOD,1.2019,0.8268,2.1545 , 1.0064,0.5233,<LOD,2.6459,0.1294,555433.1875 , 3394.8782,<LOD,1.2050,0.1834,<LOD,1.8521,1.5716,<LOD,35.2623,5.8319,67.2729 , 4.0254,2.9051,<LOD,5.2564,0.3808,12119.5391 , 75.2722,35.1234,<LOD,0.0000,0.0000,11.6681 , 1.8909,0.4151,31.1453 , 16.6266,0.6078,<LOD,0.9237,6.6725,8.2667 , 0.5132,4.2834,<LOD,5.3631,0.2783,9.3893 , 0.9223,0.4595,<LOD,1.0712,0.5848,65.5058 , 1.2053,4.1442,<LOD,0.0000,0.0000,<LOD,3.4670,4.7828,<LOD,0.6916,0.2237,7.0689 , 1.8752,3.8595,38.8941 , 0.5407,3.7004,<LOD,0.0000,0.0000,6.2528 , 0.7287,0.5312,7756.8550 , 38.7985,31.1482,<LOD,1.6523,0.5465,229.0778 , 10.9575,5.4212,<LOD,5.7471,0.2226,8.5516 , 0.6120,3.0474,<LOD,2.3700,0.3269,170.9560 , 1.1756,19.3876,76515.6250 , 1243.6609,1.7102,269.9141 , 16.6709,19.1147,9943.4785 , 96.4574,14.6905,<LOD,39.0656,0.8114,9589.7451 , 87.0063,7.0942,11799.1436 , 2490.8640,0.0623,926.9850 , 115.9255,0.2825,14317.5967 , 98.6084,5.9412,300671.7500 , 653.9404,33.2622,6,428.399994,39.001369,-122.662445,10.000000,529228.812500,4316982.500000,
69,Mining,120.28,30.01,30.05,30.09,30.13,"Fri Apr 3, 2026 - 10:35:22",User,1.5,ppm,,,,,,Mining,<LOD,1.5040,0.6509,<LOD,1.6371,0.3124,<LOD,3.1415,0.0983,414637.5938 , 6350.4111,<LOD,1.4139,0.1375,<LOD,2.2475,1.1440,<LOD,57.8955,12.8897,124.6254 , 6.4559,3.4513,12.3903 , 2.9711,0.3404,35984.1875 , 176.5097,82.0974,<LOD,0.0000,0.0000,7.9622 , 2.1367,0.2780,538.4301 , 29.0359,1.3178,<LOD,1.0688,4.4468,6.2288 , 0.6049,2.9623,<LOD,8.0234,0.2776,8.5749 , 1.0726,0.3352,<LOD,1.3231,0.4494,52.6931 , 1.3104,2.4595,<LOD,0.0000,0.0000,<LOD,4.2916,3.5808,<LOD,0.8656,0.1942,10.0587 , 2.3559,3.0463,264.2691 , 1.6394,14.7574,<LOD,0.0000,0.0000,3.8912 , 0.8103,0.3318,8611.2588 , 58.6108,28.2539,2.9590 , 1.0507,0.5527,228.9540 , 15.6171,4.8737,<LOD,7.4934,0.2095,24.4097 , 0.8188,2.9555,41.3604 , 2.7897,0.5715,132.5299 , 1.3753,13.1014,132629.0000 , 2543.2754,2.8548,429.8698 , 21.6035,16.2354,29886.0938 , 217.4703,36.3929,<LOD,48.3379,0.8169,12445.3379 , 129.7906,7.9000,33805.7031 , 4136.2480,0.0987,992.6397 , 139.6243,0.2736,8238.9531 , 87.4211,3.0323,320880.0625 , 813.3130,30.7915,4,428.399994,39.001358,-122.662628,10.000000,529213.062500,4316981.500000,
70,Mining,120.56,30.30,30.03,30.10,30.13,"Fri Apr 3, 2026 - 10:37:59",User,1.5,ppm,,,,,,Mining,<LOD,1.4776,0.5906,<LOD,1.5954,0.2585,<LOD,3.4136,0.1069,404531.7188 , 6714.9399,<LOD,1.4638,0.1354,<LOD,2.2481,1.0783,<LOD,58.2744,11.7580,133.5563 , 6.4008,3.2536,18.0496 , 3.1860,0.3597,33677.0898 , 173.4478,73.7183,<LOD,0.0000,0.0000,2.9672 , 2.0817,0.2346,528.0875 , 29.9737,1.2604,<LOD,1.0873,4.2202,6.0377 , 0.6209,2.8699,<LOD,8.2875,0.2847,7.7553 , 1.0890,0.3167,<LOD,1.3475,0.4409,46.3043 , 1.2836,2.1492,<LOD,0.0000,0.0000,<LOD,4.3202,3.4347,<LOD,0.9297,0.2053,19.4144 , 2.4052,3.0399,280.2773 , 1.7415,15.1485,<LOD,0.0000,0.0000,5.2401 , 0.8546,0.3460,6585.0405 , 50.9797,20.5931,3.3079 , 1.0814,0.5397,211.5008 , 14.1779,3.7595,<LOD,8.7257,0.2137,25.1656 , 0.8368,2.8492,52.0919 , 3.0558,0.6298,119.7810 , 1.3686,12.0416,134759.5156 , 2665.5444,2.8990,484.9301 , 21.9730,16.1397,39524.3984 , 252.1569,46.7738,<LOD,49.3925,0.8222,9784.7656 , 116.7287,6.1578,35206.8242 , 4261.9077,0.1015,829.9570 , 136.1644,0.2487,8228.5322 , 87.5925,2.9410,324927.6875 , 818.7421,30.4995,6,428.100006,39.001347,-122.662537,10.000000,529221.187500,4316980.000000,
71,Mining,120.52,30.28,30.04,30.09,30.11,"Fri Apr 3, 2026 - 10:53:52",User,1.5,ppm,,,,,,Mining,<LOD,1.5630,0.6182,<LOD,1.5932,0.2443,<LOD,3.3691,0.1021,403981.1250 , 6784.9814,<LOD,1.5247,0.1443,<LOD,2.3540,1.1077,<LOD,58.1869,11.4592,122.9362 , 6.1753,3.1344,16.7566 , 3.1724,0.3499,33299.4258 , 171.6149,72.0781,<LOD,0.0000,0.0000,6.2930 , 2.1760,0.2567,533.6447 , 30.1638,1.2492,<LOD,1.2707,4.2276,5.7517 , 0.6201,2.8082,<LOD,8.1710,0.2674,8.9657 , 1.1141,0.3259,<LOD,1.3849,0.4335,42.5076 , 1.2484,1.9823,<LOD,0.0000,0.0000,<LOD,4.4363,3.3448,<LOD,0.9216,0.1982,17.4229 , 2.4806,3.0061,276.4001 , 1.7309,14.8075,<LOD,0.0000,0.0000,3.2551 , 0.8469,0.3165,6359.6084 , 49.6143,19.8416,3.1874 , 1.0847,0.5321,192.5502 , 13.6305,3.5959,<LOD,7.8664,0.2081,23.6303 , 0.8222,2.7039,56.7872 , 3.1496,0.6564,116.5396 , 1.3568,11.6679,141379.7812 , 2743.7422,3.0332,492.6842 , 22.7467,16.1559,39787.6172 , 247.2148,46.4693,<LOD,50.0470,0.8186,8904.0156 , 109.1013,5.5727,31121.0938 , 4180.5366,0.0948,1001.9529 , 139.0437,0.2564,8945.5225 , 91.9960,3.1492,323300.5625 , 816.2510,29.9341,6,434.299988,39.001389,-122.662636,10.000000,529212.500000,4316985.000000,
72,Mining,120.57,30.23,30.13,30.07,30.14,"Fri Apr 3, 2026 - 10:56:47",User,1.5,ppm,,,,,,Mining,<LOD,1.4558,0.6456,<LOD,1.5117,0.2872,<LOD,3.2439,0.1183,404339.6250 , 5896.0400,<LOD,1.3913,0.1497,<LOD,2.2574,1.2305,<LOD,54.1458,11.8556,124.7619 , 5.8632,3.3962,12.7374 , 2.8661,0.3546,31171.4219 , 158.1378,73.9075,<LOD,0.0000,0.0000,14.7351 , 2.2192,0.3478,397.6194 , 26.1101,1.1397,<LOD,1.0168,4.5236,5.3913 , 0.5707,2.9693,<LOD,7.5200,0.2838,7.8784 , 1.0218,0.3418,<LOD,1.3248,0.4798,42.8329 , 1.1805,2.2084,<LOD,0.0000,0.0000,<LOD,4.3347,3.9237,<LOD,0.8643,0.2159,15.6364 , 2.3905,3.3752,267.4933 , 1.6063,15.8950,<LOD,0.0000,0.0000,4.7077 , 0.7994,0.3658,6621.6392 , 48.4006,22.5414,3.5284 , 1.0314,0.5995,186.5069 , 13.0900,3.9981,<LOD,7.0163,0.2055,16.1698 , 0.7110,2.5114,45.6652 , 2.7676,0.6303,120.9648 , 1.2914,13.1407,154426.3125 , 2433.1052,3.3044,431.6975 , 21.6995,17.5204,30842.8574 , 209.9922,38.6137,<LOD,46.4214,0.8467,8730.3721 , 103.9838,5.8029,27402.7109 , 3645.4958,0.0901,888.2604 , 131.4939,0.2716,11059.5762 , 96.0360,4.0770,322818.8750 , 794.0778,31.9341,,,,,,,,
73,Mining,120.64,30.15,30.00,30.29,30.20,"Fri Apr 3, 2026 - 10:59:39",User,1.5,ppm,,,,,,Mining,<LOD,1.4055,0.6322,<LOD,1.4598,0.2663,<LOD,3.0695,0.1069,406354.3750 , 6018.4238,<LOD,1.3393,0.1402,<LOD,2.1191,1.1366,<LOD,53.3266,11.9240,126.1975 , 5.8415,3.3476,9.5925 , 2.7645,0.3339,31392.2734 , 165.9088,74.7398,<LOD,0.0000,0.0000,7.7586 , 1.9870,0.2762,443.9045 , 26.6959,1.2077,<LOD,0.9974,4.4097,5.1451 , 0.5640,2.9395,<LOD,7.4014,0.2744,7.5980 , 0.9996,0.3307,<LOD,1.2392,0.4383,41.5522 , 1.1567,2.1414,<LOD,0.0000,0.0000,<LOD,4.0292,3.5412,<LOD,0.8313,0.2034,16.2115 , 2.2289,3.0644,269.4312 , 1.6344,16.0340,<LOD,0.0000,0.0000,2.9087 , 0.7519,0.3185,6595.7544 , 48.8252,22.4119,2.6990 , 0.9987,0.5693,179.1506 , 13.0194,3.9212,<LOD,6.6974,0.1892,16.5173 , 0.7079,2.5149,42.8463 , 2.6936,0.6041,110.8697 , 1.2544,12.4396,147628.2656 , 2490.1384,3.1696,392.7969 , 20.1364,15.7610,39277.8438 , 243.4357,50.2289,<LOD,48.2566,0.8848,8658.6357 , 103.7683,5.9217,32757.6895 , 3969.0408,0.1007,945.7742 , 136.2161,0.2818,10906.0693 , 98.7661,4.1449,313808.1250 , 820.5417,31.6765,,,,,,,,
